date,format,season,week_num,player_name,match_num,set_num,srv_error,srv_good,srv_ace,rcv_error,rcv_bad,rcv_good,rcv_perfect,atk_error,atk_bad,atk_good,atk_kill,assists,defensive_error,blk_error,blk_touch,blk_solo,blk_assist_2,blk_assist_3,dig_miss,dig_touch,dig_up,fouls,win,position
2/25/2025,IVL,Winter,6.0,Jasmol,1,1,1,1.0,,,1,,3,,,1.0,2,,,,,,,,,,,,0,middle
2/25/2025,IVL,Winter,6.0,Jasmol,1,2,1,,,1,,,5,1.0,,2.0,,,,,,1.0,,,,,,,0,middle
2/25/2025,IVL,Winter,6.0,Jasmol,2,1,,3.0,,,,,3,1.0,,4.0,2,,,,,,,,,,,,0,middle
2/25/2025,IVL,Winter,6.0,Jasmol,2,2,1,7.0,,2,2,,2,,,2.0,3,,,,,,,,,,,,0,middle
2/4/2025,IVL,Winter,5.0,Jasmol,1,1,1,3.0,,1,,,1,1.0,,6.0,2,,,,,,,,,,,,1,middle
2/4/2025,IVL,Winter,5.0,Jasmol,1,2,1,1.0,2.0,1,,,2,,,2.0,4,,,,,,,,,,,,1,middle
4/8/2025,IVL,Spring,2.0,Jasmol,1,1,,1.0,,,2,,3,,,2.0,2,,,,,2.0,,,,,1.0,,1,middle
4/8/2025,IVL,Spring,2.0,Jasmol,1,2,,2.0,,,1,,,,1,2.0,1,,,,,1.0,,,,,,,1,middle
4/15/2025,IVL,Spring,3.0,Jasmol,1,1,,5.0,3.0,,1,,4,,,3.0,,,,,,1.0,,,,,,,0,middle
4/15/2025,IVL,Spring,3.0,Jasmol,1,2,,1.0,,,2,,7,1.0,,,2,,,,,,,,,,1.0,,0,middle
4/15/2025,IVL,Spring,3.0,Jasmol,2,2,,4.0,1.0,1,2,,2,,1,1.0,1,,,,,,,,,,,,0,middle
4/22/2025,IVL,Spring,4.0,Jasmol,1,1,,4.0,,,,,1,1.0,,5.0,1,,,,5.0,1.0,,,,,,,1,middle
4/22/2025,IVL,Spring,4.0,Jasmol,1,2,,2.0,,,,,1,,1,6.0,1,,,,2.0,1.0,,,,,,,1,middle
4/22/2025,IVL,Spring,4.0,Jasmol,2,1,,1.0,,,1,,4,,,,4,,,,1.0,,,,,,,,1,middle
4/22/2025,IVL,Spring,4.0,Jasmol,2,2,,3.0,,,,,3,1.0,,4.0,4,,,,4.0,,,,,,,,1,middle
4/29/2025,IVL,Spring,5.0,Jasmol,2,1,1,1.0,,1,1,1.0,1,,,2.0,2,,,1.0,1.0,,,,,,4.0,,0,middle
4/29/2025,IVL,Spring,5.0,Jasmol,2,2,,3.0,,1,1,,1,,1,6.0,2,,,,3.0,1.0,,,,1,3.0,,0,middle
5/3/2025,open_gym,,,Jasmol,1,1,,2.0,,,1,1.0,,1.0,,5.0,2,,,,,,,,3,1,2.0,,1,opposite
5/3/2025,open_gym,,,Jasmol,2,1,1,3.0,1.0,,,1.0,,,1,2.0,4,,,,,,,,,,1.0,,1,opposite
5/3/2025,open_gym,,,Jasmol,3,1,,2.0,,,1,,1,,1,2.0,3,,,,1.0,,,,,,,,0,middle
5/3/2025,open_gym,,,Jasmol,4,1,1,1.0,,2,,1.0,,,,4.0,1,,,,,,,,2,,1.0,,0,opposite
5/6/2025,IVL,Spring,6.0,Jasmol,1,1,,1.0,,,1,3.0,1,,1,2.0,,,,,,,,,,1,3.0,1.0,1,middle
5/6/2025,IVL,Spring,6.0,Jasmol,1,2,,1.0,,,5,2.0,2,,,3.0,3,,1.0,,1.0,,,,,,,,0,middle
5/6/2025,IVL,Spring,6.0,Jasmol,2,1,,4.0,,,,1.0,,1.0,1,5.0,,,1.0,,2.0,1.0,,,,,2.0,,1,middle
5/6/2025,IVL,Spring,6.0,Jasmol,2,2,,2.0,,,1,4.0,,1.0,,1.0,2,,1.0,1.0,,1.0,,,,,2.0,,1,middle
